tx,GetCode,GetBlockAtHeight,GetValue,ContractFunctionInvoke,function_or_loop_call,GetStorageCapacity,SetValue,Hash,ResolveLocation,GetAccountContractCode,RemoveAccountContractCode,GetCurrentBlockHeight,ValidatePublicKey,ValueExists,AddAccountKey,CreateAccount,RevokeAccountKey,UpdateAccountContractCode,GetProgram,GenerateUUID,SetProgram,AllocateStorageIndex,AddEncodedAccountKey,GetStorageUsed,EmitEvent,ms
1b9a10e37bce9e9630639e0a780293663e2affdb94b2b0f7548476ee7a76401b,0,1,17720,4,67,4,10683,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,6
05c9f4b40700f67edd7405aa387bf3559261dbf55a4be5ab59b70d2de81b1ea9,0,1,19634,4,67,4,12277,0,3,0,0,1,0,0,0,0,0,0,19,2,1,6,0,4,2,6
3ced826a91805730d4c6ba707394f75f650245fbd968a8ed7fd8618510c9e38c,0,0,3832,4,9,4,1441,0,2,0,0,0,0,0,0,0,0,0,19,0,1,0,0,4,0,5
b171a1961081f24b398135654572ede94a9b9c0a2efb13dec42fc642eb484fb0,0,0,10469,4,68,4,4621,0,3,0,0,0,0,0,0,0,0,0,19,1,1,3,0,4,3,5
4c05dfa8d6b16055b25793ae5d666ade8029aa6980dfa49414a9fa90ba3d28c6,0,0,14653,4,68,4,6821,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
db2c729db29e3feeabd63514fd89b0d330272ea3475340a7c932d27df3e9a10f,0,0,12247,4,69,4,8133,0,3,0,0,0,0,0,0,0,0,0,19,1,1,3,0,4,3,6
1b7db644e63e79bb1aaa8098256033fd48f51ed1e548a428ad86b95b16b1505b,0,1,16359,4,67,4,9462,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,7
820a869a2beb693f411791e25e68e85b4b318b1fb6492e6fdd15921d86655744,0,0,9836,4,68,4,3922,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
a1809a94003f103abe53e77a6a094e12162af97fee957a88cba339c5a946c168,0,1,16746,4,67,4,10201,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,7
bea9181e78287ec095b6ab697f206b73322b9164d11e70ca0195d8f24ef90e07,0,0,19899,5,147,5,13365,0,3,0,0,0,0,0,0,0,0,0,22,2,1,4,0,5,6,9
f7844c06f153d7367133edb27ec8c9524b920f136597f2158c9c9ceaead51b49,0,0,20202,5,133,5,10116,0,3,0,0,0,0,0,0,0,0,0,22,2,1,4,0,5,6,8
bdf50c2a4bb7da5df7a7d9b7023e54e3657ee4cce172c32c52862421659f6e55,0,0,9932,4,68,4,4018,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
63ebe8eb8553dbc48fed343969d2bd97897628176e37eff6d7fc67f736d89bf5,0,1,18368,4,67,4,10951,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,6
1e813505387a024d0f617ff7d7703fae5af325d7c2bb6d6592e3219b2cf83911,0,1,18554,4,67,4,11097,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,7
df2e25274f06b032abfb697ec5e39f41aa251c8a7df142ae095b9d99f3bf43a3,0,0,15313,4,68,4,7153,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
b6e5010cb83d3aa1e8bfa0c7cbbb40efb027024ecf613a910d319fc853250cdd,0,0,20826,5,133,5,10616,0,3,0,0,0,0,0,0,0,0,0,22,2,1,4,0,5,6,9
b108b34dd5b0fa56c6839dce7a4d2b74212584f083c21724fee284af69c1e9ed,0,0,12187,4,69,4,8073,0,3,0,0,0,0,0,0,0,0,0,19,1,1,3,0,4,3,8
a98168835e44b815fdbdb8f95652bebc8324c6792a0a0a7e18b3375169284a13,0,0,10028,4,68,4,4114,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
dd933bfc4021812d7daa4f97cbd58fb2624ee9b665ab09cb982954729bf4915b,0,1,17940,4,67,4,10981,0,3,0,0,1,0,0,0,0,0,0,19,2,1,5,0,4,2,7
ddb6ed1a62363abde7c68d7c2aa7a17e82b7cce1dfef01c666c0781a15e06ee0,0,0,76507,3,1643,3,48527,0,3,0,0,0,0,0,0,0,0,0,16,40,1,16,0,3,88,17
90f031f7ee26e4afc4ad56369a4ade6fc0e6465b10b990df1c835171510638ba,0,0,10124,4,68,4,4210,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
a037bb3cf9c6947fd719de260e08b0b12de5924d6d95b889f9d0e943dbbebce5,0,0,15031,4,68,4,7293,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,7
b18f1373dad874b4877ba34294a7df236ceea9a15675a5b9ee51003e3a6a5c4a,0,2,28293,5,131,5,18266,0,3,0,0,2,0,0,0,0,0,0,22,4,1,8,0,5,4,8
f1de13210bb1cd640a907f42496eda858472bc776f625064351300df217bb410,0,0,3832,4,9,4,1441,0,2,0,0,0,0,0,0,0,0,0,19,0,1,0,0,4,0,6
a8969ee90d2ad2f0e80aa1631aa88edfdb6870b177c1c5174457ee84b7c03ab8,0,4,49229,7,259,7,36165,0,3,0,0,4,0,0,0,0,0,0,28,8,1,17,0,7,8,12
57ac8f99f49521b7f8ad498065f84fe4e3ae3e12984b5d78caa526f959fa6fc3,0,0,23508,5,133,5,12068,0,3,0,0,0,0,0,0,0,0,0,22,2,1,5,0,5,6,9
82d566b95f41756a5785c5101c1d995df715061aef9a83029c8c5deca0a1da85,0,0,14414,4,68,4,6842,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
6985bd4bdf7e5783fee1720ab25d9950ea32f17d594e1de2ad66e161a2b8f5ba,0,0,9802,4,68,4,3889,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,7
51168e24efe817031076e3912bfa1a9d9b6943cdd03aec97489c014793be68c2,0,1,16933,4,67,4,9732,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,7
393fce76a5e8301721263a36b972a765ea0eb2445bbc39b3c89a477e9c854b57,0,0,13692,4,68,4,5388,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
dc1c87d050a4765b2878da0d0a2cf1b1d4715b3b72049b5d382cf28f2851b7b2,0,1,19327,4,67,4,11783,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,8
386af17d62bfb0938a7eb198419923bebff218fca6681430c37aa6d9b314b062,0,0,10221,4,68,4,4307,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
115fdf18b279d8ead5b95c5064b0b9daf96661162949aab7cdd5e631c77c863f,0,0,12584,4,68,4,5038,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
f0bbd6c3eaae6e35f0a5a11c3085565d050e7677b80cd786a601a365111e2558,0,0,3280,5,46,4,958,0,2,0,0,0,0,3,0,1,0,0,21,5,1,1,1,4,10,6
0d5f0999f08a1cade8786a01371bf192c1044d8d8df3d1dcd213a0811eddbaf3,0,1,16466,4,67,4,9919,0,3,0,0,1,0,0,0,0,0,0,19,2,1,5,0,4,2,6
9a4f7f2b3ac46e62011fb5a6c7e63d63e19b37459dbb26c69c5adbfa10f02c4f,0,0,13066,4,68,4,5226,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
902ae980ff9cb645173b786736f17b9ccda4e043d5648b34c711d3b45c063122,0,0,9899,4,68,4,3985,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
3ea7de9cdeca5fc170b18137b3b5f721c00aecbb7cfa186981105ae7ac6ece95,0,1,17996,4,67,4,11594,0,3,0,0,1,0,0,0,0,0,0,19,2,1,5,0,4,2,7
1cb33cc8eef891b910425a63b4fb99ce866459a024e56019607fd64021b0903e,0,0,14309,4,68,4,6283,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
65dacb6e166d98d7d67c2b855e61fe2cfb3d69a53c15291ef114a528c280c067,0,1,16396,4,67,4,9355,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,6
a3a2069f4b4855d7bb7d00def06b85360fa26f4d10c407a8670831a895272293,0,0,5403,5,74,5,73251,0,3,0,0,0,0,0,0,0,0,0,29,0,1,1342,0,5,2,72
51682c90e7895286d0cbf2de0586d76bf17afabe914aa19814820467ac802523,0,1,19348,4,67,4,12407,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,6
f9fc676a50e11e81f6fb698b10861c7f7a425ecfdae12f257cb18db199e4ed71,0,0,9995,4,68,4,4081,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
5c841b31e1a4e41456c3d4e638b99ab8dae3f50d27b59b4dce58a412d2da6c13,0,0,21233,5,133,5,10167,0,3,0,0,0,0,0,0,0,0,0,22,2,1,4,0,5,6,8
f286790abb6f8ceab23ee091b7a5495f13f1a858b29f53ca22b9cf5918d52699,0,1,2861,3,15,3,239,0,2,0,0,1,0,0,0,0,0,0,14,0,1,0,0,3,1,4
e2603920ec39fab9bbab9887570e5f1848de545c907990626d20984b70fe8025,0,2,28929,5,131,5,19601,0,3,0,0,2,0,0,0,0,0,0,22,4,1,9,0,5,4,9
af7ef018081f0ad43a8b8315aee57089ecf612d780ab06a8370fbae88027c70a,0,0,3832,4,9,4,1441,0,2,0,0,0,0,0,0,0,0,0,19,0,1,0,0,4,0,5
577a6b6316499851d1f0c2ae0aa772dc405b4c94f128bd2117bc86f27deb5e1a,0,0,14126,4,68,4,6568,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,9
a859cddb11d82b64f94b108100814f4b76e9c8a03a52ac64c65b1e41c0045cd5,0,0,10317,4,68,4,4403,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
ecfe58e9a1cf5e786a1aba5706dfde84189eb6b92f6a4257f57b88ece3712916,0,1,17428,4,67,4,10335,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,6
1a3884d98ed14fc287a829bb6a9c03f59bcea7dd9f78584c61a53bb04c3b33c4,0,0,13856,4,68,4,6146,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
f376e02e15e50f9e927d70b95c10473d979401f2d99713fef5b4bce2496a6830,0,0,12459,4,68,4,4575,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
3df98dd457c05d054b7832459fff8e13108951bd68a3dcdf32694e91f3d9214a,0,0,10413,4,68,4,4499,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
105f82d152c59121266886f73318c38e79eadc1a01b3c60c2078052ac579b1df,0,1,18816,4,67,4,11393,0,3,0,0,1,0,0,0,0,0,0,19,2,1,5,0,4,2,7
c10149b474e0faf4e2a0b7abea1aa8946097642d0898e19b28bd7df5fa22003a,0,0,14043,4,68,4,6849,0,3,0,0,0,0,0,0,0,0,0,19,1,1,4,0,4,3,7
59399d7b18922c4ba70735b42b49dda688ee0f3621c140f29f4273103d425372,0,0,13683,4,68,4,6307,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,7
45e6d25eaffab4ea6782b5c96f01adc09080b60e8d078c1be2c79f03bffe8a38,0,0,9837,4,68,4,3923,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
421f10dddd8ccb386fa456e3695ed32c91478b43f6593e8c7f15736064577822,0,0,13800,4,68,4,6504,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
0ef4c823846b03ea2075bf8c01bcba69f1067b49d1b75d9fba00b38b6bf70c56,0,0,13820,4,68,4,6116,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,7
7387ebf2828f782a147cf8aea8c31c65c8df449f8d04d3f896d8bc6211970b61,0,0,10509,4,68,4,4661,0,3,0,0,0,0,0,0,0,0,0,19,1,1,3,0,4,3,8
51eec06c02dc97ba592510e5122d093d31d51c998790601bbe07fbbb1a805f89,0,0,25144,3,413,3,14300,0,3,0,0,0,0,0,0,0,0,0,16,10,1,4,0,3,22,8
a2cbd5722783b703b8da0cd5a8680ff97a7525df225d305af35b7de5bd9525f8,0,1,19899,4,67,4,12900,0,3,0,0,1,0,0,0,0,0,0,19,2,1,5,0,4,2,7
e3a2cf6893d6dbaf1bbddb858c57f845b39c7f7cddc5a52b76c2963de1c5842f,0,0,14341,4,68,4,5991,0,3,0,0,0,0,0,0,0,0,0,19,1,1,3,0,4,3,6
f5d3cce00fafbf8c32c276aa45a2bf1fb0cbcc7c33cb77de81ec466618f0b0ba,0,2,29491,5,131,5,20141,0,3,0,0,2,0,0,0,0,0,0,22,4,1,8,0,5,4,8
059bc2bd1a9d4a1939c2aab31f4efac5b9f7f475e3a2bec15859e17cdff90173,0,0,3280,5,46,4,958,0,2,0,0,0,0,3,0,1,0,0,21,5,1,1,1,4,10,7
0a99e22eb7c2c8e3c8b3decb98a9bb65ff0ba459d4bc4ee3fd897025ff934e35,0,0,10119,4,68,4,4211,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,7
ccd1c8979a3f04469ec37b74f0bc03c0321c381b66081fd501ffadf5107ba75f,0,1,18836,4,67,4,11759,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,7
12c4de7f69f650c5755e8b369686d6941666a592d73d18d1618a3cc9f66bb531,0,0,3832,4,9,4,1441,0,2,0,0,0,0,0,0,0,0,0,19,0,1,0,0,4,0,6
b47704e325e6055c019d55612ca0bd3ffff36c304d6df5a99daecd49af261a1f,0,0,8385,4,68,4,2578,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
57739926502ba34c604b3c4a1d757046116022fcf8f792adf4f1906e8ea919a6,0,0,14269,4,68,4,6521,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,8
d4f61accde9d3565a51295a9427ec20c88468d8822989ef1f04cdb2d90fd33e6,0,0,7909,4,68,4,2578,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
1d8cafb99ead6726582aa742e1dae8490458ec90f0e7e3bed769adaaa4c92772,0,1,17635,4,67,4,11130,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,7
e62890bb071e62ba6ee182444ce9c27dddf62686b7864eed071a1ee48b991ff6,0,0,17391,3,208,3,9031,0,3,0,0,0,0,0,0,0,0,0,16,5,1,2,0,3,11,7
4e7574ad824fb47930bf7271640dc98eb6bd4436e283f12337752eaf426eab49,0,1,17253,4,67,4,10734,0,3,0,0,1,0,0,0,0,0,0,19,2,1,5,0,4,2,7
8cf01b5ab130a0149c1f254828a251aaab596ed47d6b62cf827c54947b91a93d,0,1,11685,4,67,4,6556,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,8
da79ce24c910f61e63b52bd62795d8cb4f2c5cb6f053c6dc819ff3c5fbe600a1,0,0,12561,4,68,4,4677,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,7
214ace15ee49a255eab0db61bdc99e57a83e2bc509016e8a551c99d61e734ebe,0,3,41191,6,195,6,30060,0,3,0,0,3,0,0,0,0,0,0,25,6,1,14,0,6,6,10
412b28eb1e820fd1fb2340678ada07fc0fa125c31e9675467731c57163235020,0,1,8716,4,67,4,4157,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,6
5ac9802342c6bfc5f0c010b7e1d2f8485bc01a5996140d1ab25ff5e035256ac0,0,0,22736,5,133,5,11588,0,3,0,0,0,0,0,0,0,0,0,22,2,1,4,0,5,6,8
1a25afad6442416c04d862476a3d48f129959c2ce93b4de312961b1cc0b4e025,0,0,13755,4,68,4,5633,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
53382a6c7d2bacf6cc1cb86f7f9ebbc85e9f24c4a6e3a33ca174922c59447fd9,0,0,15379,4,68,4,7099,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
cdbab911d818cd1f508c2d8f79bda5ddfc0c609a9cef9a8738ee32f89aff08c6,0,1,10833,4,67,4,5704,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,6
cea6d9a789d4db59e0b95f33b2898c4e6b5c94d72c3b0c261b64ad02e9fd0880,0,1,10819,4,67,4,5696,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,7
ef7106c2478c61fc6e58c5bae524aa3698bef51ddbc018b961dbc8310f3af1ac,0,1,17671,4,67,4,10158,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,6
3373b612a8b58fca8558ca04d614bd5d7910e9a50f1fbe13ccfcecd74704a02b,0,0,16944,3,208,3,8532,0,3,0,0,0,0,0,0,0,0,0,16,5,1,2,0,3,11,6
9457646402f6289e55688ef02405bd1db88a2bf8137c1a3f9229f3e799a3736d,0,0,15336,5,114,4,13704,0,3,0,0,0,6,5,6,1,0,0,23,6,1,6,0,4,13,10
96a89c83ef116cc1c41856a3a14bceeeca97312c6f4087367611f62264152e77,0,0,15724,4,68,4,7444,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
941de3d1b41282a4e8d0a8fdfbd72f74dfce8d495704891601567eec68c0542c,0,1,17696,4,67,4,10647,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,7
eec6730929b56bb745b694c12c230032f4532d3d7057ebb915947a99c5d63304,0,0,2293,3,9,3,0,0,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,3,0,4
62a69061b1dcbd7115f160d5376db23e8f4007b098544083243101813f0a51ec,0,0,2294,3,9,3,0,0,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,3,0,3
6568187acffd6d6688077b6287481eeefd0cdbb86adb3cbcc45235df22d5ccf3,0,0,3832,4,9,4,1441,0,2,0,0,0,0,0,0,0,0,0,19,0,1,0,0,4,0,5
bfc08201747065c48f47e1093cc90f6af4806ce85e55b70bd0964502ca6d559b,0,1,17458,4,67,4,10133,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,6
44c27b1b000cef234547fbe8938c63ce66dd37f221333aee21bb6e4fc6bbf400,0,2,29736,5,131,5,19833,0,3,0,0,2,0,0,0,0,0,0,22,4,1,8,0,5,4,8
5885a20190e86ada54f7bfbec53c9ed3a8b17b271d24f775e49b75441cd32e14,0,0,16355,3,208,3,8699,0,3,0,0,0,0,0,0,0,0,0,16,5,1,2,0,3,11,7
d03a97fb5d621f116c9d0ef9507ab38ce023a48bd3a868524df74bec33765a47,0,0,3024,5,26,4,1071,0,2,0,0,0,3,6,3,1,0,0,21,4,1,2,0,4,9,7
99615350bb99353914df84eee99522df57814a77c9d5b0eb1a1d9e3f4e145f22,0,2,29037,5,131,5,20236,0,3,0,0,2,0,0,0,0,0,0,22,4,1,9,0,5,4,9
ece0604458492c910328465111953c73bed91ebb44eb5991031f9710fff587a4,0,0,14549,4,68,4,6501,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,7
f875fb17574faef5ef8e73435d3413edc7460d69fbe8f18a7a78b90baba7c995,0,0,14852,5,114,4,13286,0,3,0,0,0,6,5,6,1,0,0,23,6,1,7,0,4,13,8
7643452af6132be4b382f04711d07c2cc8141615f523f0c1005f645e0905f185,0,0,13502,4,68,4,5714,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
57417e12b5304574aa0437e7e2af1772e03344dd13465ed7536bef4d0f86d487,0,0,13803,4,68,4,5375,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
cb1a3fad7497869a7beb1b0d40f2e0d0e114c72390cb07d661e94c570c7b98e4,0,0,8932,5,90,4,7300,0,3,0,0,0,3,5,3,1,0,0,23,6,1,6,0,4,10,8
f3b5fa3975149d7ce03426fe27e3ba5dc9e9b24a0cbb1eb0be89fd82a48d8c60,0,0,14748,5,114,4,13116,0,3,0,0,0,6,5,6,1,0,0,23,6,1,6,0,4,13,9
1e6b1ef96e967e4aa621d914fcdc687b59267a587c860f2967115739c8202a6b,0,0,14777,4,68,4,6469,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,7
68126e17521ed08c8e57c18e205e5545d8e76c7fa16ba405a74bbac024da95f3,0,1,9386,4,67,4,4351,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,6
1ce09a143aa89c119f6cabc561a29682353967315212bb183fdc95401804501b,0,3,39671,6,195,6,29178,0,3,0,0,3,0,0,0,0,0,0,25,6,1,13,0,6,6,10
16336c6812b689d7eb0c398a345e8ac8143293b8c8e7fbf85ed75831ac264c7a,0,0,14428,4,68,4,6538,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,7
89e54ce2dd51ac8590cc031e50dad788efded6a6b87efaa2e31a7dc42a2a3db6,0,0,35170,3,618,3,21175,0,3,0,0,0,0,0,0,0,0,0,16,15,1,6,0,3,33,10
c5aada144dd4a4b5f8d6de7dac0a6e260a292110b21db3ce90a45cede3cd7e85,0,1,11617,4,67,4,6488,0,3,0,0,1,0,0,0,0,0,0,19,2,1,4,0,4,2,6
d9f72d0290828604cba0324c1dd9b7fda38dcfa969a9f11c99f840bab9491f0e,0,0,14523,4,68,4,6197,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,8
c57243ee876d3a1835084c4c9054e34269279a28f630c613c2757bbf880f3042,0,0,13300,4,68,4,5918,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,7
275d8b00eb590a6a349ea44a87cad775f5ab381d325dbb41ab0224e2c908fbf1,0,5,61946,8,323,8,46632,0,3,0,0,5,0,0,0,0,0,0,31,10,1,22,0,8,10,13
a15b8164be969f8bc231f8deb7c4b984609abe84e78834424d32c8dd472fbc6c,0,0,14092,4,68,4,5704,0,3,0,0,0,0,0,0,0,0,0,19,1,1,2,0,4,3,6
